Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Average_Estimator
516,511,1023,511,127,255,485.4
517,511,1023,511,127,255,485.4
518,511,1023,511,127,255,485.4
519,511,1023,511,127,255,485.4
520,511,1023,511,127,255,485.4
521,511,1023,511,127,255,485.4
522,511,1023,511,127,255,485.4
523,511,1023,511,127,255,485.4
524,511,1023,511,127,255,485.4
525,511,1023,511,127,255,485.4
526,511,1023,511,127,255,485.4
527,511,1023,511,127,255,485.4
528,511,1023,511,127,255,485.4
529,511,1023,511,127,255,485.4
530,511,1023,511,127,255,485.4
531,511,1023,511,127,255,485.4
532,511,1023,511,127,255,485.4
533,511,1023,511,127,255,485.4
534,511,1023,511,127,255,485.4
535,511,1023,511,127,255,485.4
536,511,1023,511,127,255,485.4
537,511,1023,511,127,255,485.4
538,511,1023,511,127,255,485.4
539,511,1023,511,127,255,485.4
540,511,1023,511,127,255,485.4
541,511,1023,511,127,255,485.4
542,511,1023,511,127,255,485.4
543,511,1023,511,127,255,485.4
544,511,1023,511,127,255,485.4
545,511,1023,511,127,255,485.4
546,511,1023,511,127,255,485.4
547,511,1023,511,127,255,485.4
548,511,1023,511,255,255,511
549,511,1023,511,255,255,511
550,511,1023,511,255,255,511
551,511,1023,511,255,255,511
552,511,1023,511,255,255,511
553,511,1023,511,255,255,511
554,511,1023,511,255,255,511
555,511,1023,511,255,255,511
556,511,1023,511,255,255,511
557,511,1023,511,255,255,511
558,511,1023,511,255,255,511
559,511,1023,511,255,255,511
560,511,1023,511,255,255,511
561,511,1023,511,255,255,511
562,511,1023,511,255,255,511
563,511,1023,511,255,255,511
564,511,1023,511,255,255,511
565,511,1023,511,255,255,511
566,511,1023,511,255,255,511
567,511,1023,511,255,255,511
568,511,1023,511,255,255,511
569,511,1023,511,255,255,511
570,511,1023,511,255,255,511
571,511,1023,511,255,255,511
572,511,1023,511,255,255,511
573,511,1023,511,255,255,511
574,511,1023,511,255,255,511
575,511,1023,511,255,255,511
576,511,1023,511,255,255,511
577,511,1023,511,255,255,511
578,511,1023,511,255,255,511
579,511,1023,511,255,255,511
580,511,1023,511,255,255,511
581,511,1023,511,255,255,511
582,511,1023,511,255,255,511
583,511,1023,511,255,255,511
584,511,1023,511,255,255,511
585,511,1023,511,255,255,511
586,511,1023,511,255,255,511
587,511,1023,511,255,255,511
588,511,1023,511,255,255,511
589,511,1023,511,255,255,511
590,511,1023,511,255,255,511
591,511,1023,511,255,255,511
592,511,1023,511,255,255,511
593,511,1023,511,255,255,511
594,511,1023,511,255,255,511
595,511,1023,511,255,255,511
596,511,1023,511,255,255,511
597,511,1023,511,255,255,511
598,511,1023,511,255,255,511
599,511,1023,511,255,255,511
600,511,1023,511,255,255,511
601,511,1023,511,255,255,511
602,511,1023,511,255,255,511
603,511,1023,511,255,255,511
604,511,1023,511,255,255,511
605,511,1023,511,255,255,511
606,511,1023,511,255,255,511
607,511,1023,511,255,255,511
608,511,1023,511,255,255,511
609,511,1023,511,255,255,511
610,511,1023,511,255,255,511
611,511,1023,511,255,255,511
612,511,1023,511,255,255,511
613,511,1023,511,255,255,511
614,511,1023,511,255,255,511
615,511,1023,511,255,255,511
616,511,1023,511,255,255,511
617,511,1023,511,255,255,511
618,511,1023,511,255,255,511
619,511,1023,511,255,255,511
620,511,1023,511,255,255,511
621,511,1023,511,255,255,511
622,511,1023,511,255,255,511
623,511,1023,511,255,255,511
624,511,1023,511,255,255,511
625,511,1023,511,255,255,511
626,511,1023,511,255,255,511
627,511,1023,511,255,255,511
628,511,1023,511,255,255,511
629,511,1023,511,255,255,511
630,511,1023,511,511,255,562.2
631,511,1023,511,511,255,562.2
632,511,1023,511,511,255,562.2
633,511,1023,511,511,255,562.2
634,511,1023,511,511,255,562.2
635,511,1023,511,511,255,562.2
636,511,1023,511,511,255,562.2
637,511,1023,511,511,255,562.2
638,511,1023,511,511,255,562.2
639,511,1023,511,511,255,562.2
640,511,1023,511,511,255,562.2
641,511,1023,511,511,255,562.2
642,511,1023,511,511,255,562.2
643,511,1023,511,511,255,562.2
644,511,1023,511,511,255,562.2
645,511,1023,511,511,255,562.2
646,511,1023,511,511,255,562.2
647,511,1023,511,511,255,562.2
648,511,1023,511,511,255,562.2
649,511,1023,511,511,255,562.2
650,511,1023,511,511,255,562.2
651,511,1023,511,511,255,562.2
652,511,1023,511,511,255,562.2
653,511,1023,511,511,255,562.2
654,511,1023,511,511,255,562.2
655,511,1023,511,511,255,562.2
656,511,1023,511,511,255,562.2
657,511,1023,511,511,255,562.2
658,511,1023,511,511,255,562.2
659,511,1023,511,511,255,562.2
660,511,1023,511,511,255,562.2
661,511,1023,511,511,255,562.2
662,511,1023,511,511,255,562.2
663,511,1023,511,511,255,562.2
664,511,1023,511,511,255,562.2
665,511,1023,511,511,255,562.2
666,511,1023,511,511,255,562.2
667,511,1023,511,511,255,562.2
668,511,1023,511,511,255,562.2
669,511,1023,511,511,255,562.2
670,511,1023,511,511,255,562.2
671,511,1023,511,511,255,562.2
672,511,1023,511,511,255,562.2
673,511,1023,511,511,255,562.2
674,511,1023,511,511,255,562.2
675,511,1023,511,511,255,562.2
676,511,1023,511,511,255,562.2
677,511,1023,511,511,255,562.2
678,511,1023,511,511,255,562.2
679,511,1023,511,511,255,562.2
680,511,1023,511,511,255,562.2
681,511,1023,511,511,255,562.2
682,511,1023,511,511,255,562.2
683,511,1023,511,511,255,562.2
684,511,1023,511,511,255,562.2
685,511,1023,511,511,255,562.2
686,511,1023,511,511,255,562.2
687,511,1023,511,511,255,562.2
688,511,1023,511,511,255,562.2
689,511,1023,511,511,255,562.2
690,511,1023,511,511,255,562.2
691,511,1023,511,511,255,562.2
692,511,1023,511,511,255,562.2
693,511,1023,511,511,255,562.2
694,511,1023,511,511,255,562.2
695,511,1023,511,511,255,562.2
696,511,1023,511,511,255,562.2
697,511,1023,511,511,255,562.2
698,511,1023,511,511,255,562.2
699,511,1023,511,511,255,562.2
700,511,1023,511,511,255,562.2
701,511,1023,511,511,255,562.2
702,511,1023,511,511,255,562.2
703,511,1023,511,511,255,562.2
704,511,1023,511,511,255,562.2
705,511,1023,511,1023,255,664.6
706,511,1023,511,1023,255,664.6
707,511,1023,511,1023,255,664.6
708,511,1023,511,1023,255,664.6
709,511,1023,511,1023,511,715.8
710,511,1023,511,1023,511,715.8
711,511,1023,511,1023,511,715.8
712,511,1023,511,1023,511,715.8
713,511,1023,511,1023,511,715.8
714,511,1023,511,1023,511,715.8
715,511,1023,511,1023,511,715.8
716,511,1023,511,1023,511,715.8
717,511,1023,511,1023,511,715.8
718,511,1023,511,1023,511,715.8
719,511,1023,511,1023,511,715.8
720,511,1023,511,1023,511,715.8
721,511,1023,511,1023,511,715.8
722,511,1023,511,1023,511,715.8
723,511,1023,511,1023,511,715.8
724,511,1023,511,1023,511,715.8
725,511,1023,511,1023,511,715.8
726,511,1023,511,1023,511,715.8
727,511,1023,511,1023,511,715.8
728,511,1023,511,1023,511,715.8
729,511,1023,511,1023,511,715.8
730,511,1023,511,1023,511,715.8
731,511,1023,511,1023,511,715.8
732,511,1023,511,1023,511,715.8
733,511,1023,511,1023,511,715.8
734,511,1023,511,1023,511,715.8
735,511,1023,511,1023,511,715.8
736,511,1023,511,1023,511,715.8
737,511,1023,511,1023,511,715.8
738,511,1023,511,1023,511,715.8
739,511,1023,511,1023,511,715.8
740,511,1023,511,1023,511,715.8
741,511,1023,511,1023,511,715.8
742,511,1023,511,1023,511,715.8
743,511,1023,511,1023,511,715.8
744,511,1023,511,1023,511,715.8
745,511,1023,511,1023,511,715.8
746,511,1023,511,1023,511,715.8
747,511,1023,511,1023,511,715.8
748,511,1023,511,1023,511,715.8
749,511,1023,511,1023,511,715.8
750,511,1023,511,1023,511,715.8
751,511,1023,511,1023,511,715.8
752,511,1023,511,1023,511,715.8
753,511,1023,511,1023,511,715.8
754,511,1023,511,1023,511,715.8
755,511,1023,511,1023,511,715.8
756,511,1023,511,1023,511,715.8
757,511,1023,511,1023,511,715.8
758,511,1023,511,1023,511,715.8
759,511,1023,511,1023,511,715.8
760,511,1023,511,1023,511,715.8
761,511,1023,511,1023,511,715.8
762,511,1023,511,1023,511,715.8
763,511,1023,511,1023,511,715.8
764,511,1023,511,1023,511,715.8
765,511,1023,511,1023,511,715.8
766,511,1023,511,1023,511,715.8
767,511,1023,511,1023,511,715.8
768,511,1023,511,1023,511,715.8
769,511,1023,511,1023,511,715.8
770,511,1023,511,1023,511,715.8
771,511,1023,511,1023,511,715.8
772,511,1023,511,1023,511,715.8
773,511,1023,511,1023,511,715.8
774,511,1023,511,1023,511,715.8
775,511,1023,511,1023,511,715.8
776,511,1023,511,1023,511,715.8
777,511,1023,511,1023,511,715.8
778,511,1023,511,1023,511,715.8
779,511,1023,511,1023,511,715.8
780,511,1023,511,1023,511,715.8
781,511,1023,511,1023,511,715.8
782,511,1023,511,1023,511,715.8
783,511,1023,511,1023,511,715.8
784,511,1023,511,1023,511,715.8
785,511,1023,511,1023,511,715.8
786,511,1023,511,1023,511,715.8
787,511,1023,511,1023,511,715.8
788,511,1023,511,1023,511,715.8
789,511,1023,511,1023,511,715.8
790,511,1023,511,1023,511,715.8
791,511,1023,511,1023,511,715.8
792,511,1023,511,1023,511,715.8
793,511,1023,511,1023,511,715.8
794,511,1023,511,1023,511,715.8
795,511,1023,511,1023,511,715.8
796,511,1023,511,1023,511,715.8
797,511,1023,511,1023,511,715.8
798,511,1023,511,1023,511,715.8
799,511,1023,511,1023,511,715.8
800,511,1023,511,1023,511,715.8
801,511,1023,511,1023,511,715.8
802,511,1023,511,1023,511,715.8
803,511,1023,511,1023,511,715.8
804,511,1023,511,1023,511,715.8
805,511,2047,511,1023,511,920.6
806,511,2047,511,1023,511,920.6
807,511,2047,511,1023,511,920.6
808,511,2047,511,1023,511,920.6
809,511,2047,511,1023,511,920.6
810,511,2047,511,1023,511,920.6
811,511,2047,511,1023,511,920.6
812,511,2047,511,1023,511,920.6
813,511,2047,511,1023,511,920.6
814,511,2047,511,1023,511,920.6
815,511,2047,511,1023,511,920.6
816,511,2047,511,1023,511,920.6
817,511,2047,511,1023,511,920.6
818,511,2047,511,1023,511,920.6
819,511,2047,511,1023,511,920.6
820,511,2047,511,1023,511,920.6
821,511,2047,511,1023,511,920.6
822,511,2047,511,1023,511,920.6
823,511,2047,511,1023,511,920.6
824,511,2047,511,1023,511,920.6
825,511,2047,511,1023,511,920.6
826,511,2047,511,1023,511,920.6
827,511,2047,511,1023,511,920.6
828,511,2047,511,1023,511,920.6
829,511,2047,511,1023,511,920.6
830,511,2047,511,1023,511,920.6
831,511,2047,511,1023,511,920.6
832,511,2047,511,1023,511,920.6
833,511,2047,511,1023,511,920.6
834,511,2047,511,1023,511,920.6
835,511,2047,511,1023,511,920.6
836,511,2047,511,1023,511,920.6
837,511,2047,511,1023,511,920.6
838,511,2047,511,1023,511,920.6
839,511,2047,511,1023,511,920.6
840,511,2047,511,1023,511,920.6
