Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Average_Estimator
441,255,255,127,127,255,511,511,255,255,511,306.2
442,255,255,127,127,255,511,511,255,255,511,306.2
443,255,255,127,127,255,511,511,255,255,511,306.2
444,255,255,127,127,255,511,511,255,511,511,331.8
445,255,255,127,127,255,511,511,255,511,511,331.8
446,255,255,127,127,255,511,511,255,511,511,331.8
447,255,255,127,127,255,511,511,255,511,511,331.8
448,255,255,127,127,255,511,511,255,511,511,331.8
449,255,255,127,127,255,511,511,255,511,511,331.8
450,255,255,127,127,255,511,511,255,511,511,331.8
451,255,255,127,127,255,511,511,255,511,511,331.8
452,255,255,127,127,255,511,511,255,511,511,331.8
453,255,255,127,127,255,511,511,255,511,511,331.8
454,255,255,127,127,255,511,511,255,511,511,331.8
455,255,255,127,127,255,511,511,255,511,511,331.8
456,255,255,255,127,255,511,511,255,511,511,344.6
457,255,255,255,127,255,511,511,255,511,511,344.6
458,255,255,255,127,255,511,511,255,511,511,344.6
459,255,255,255,127,255,511,511,255,511,511,344.6
460,255,255,255,127,255,511,511,255,511,511,344.6
461,255,255,255,127,255,511,511,255,511,511,344.6
462,255,255,255,127,255,511,511,255,511,511,344.6
463,255,255,255,127,255,511,511,255,511,511,344.6
464,255,255,255,127,255,511,511,255,511,511,344.6
465,255,255,255,127,255,511,511,255,511,511,344.6
466,255,255,255,127,255,511,511,255,511,511,344.6
467,255,255,255,127,255,511,511,255,511,511,344.6
468,255,255,255,127,255,511,511,255,511,511,344.6
469,255,255,255,127,255,511,511,255,511,511,344.6
470,255,255,255,127,255,511,511,255,511,511,344.6
471,255,255,255,127,255,511,511,255,511,511,344.6
472,255,255,255,127,255,511,511,255,511,511,344.6
473,255,255,255,127,255,511,511,255,511,511,344.6
474,255,255,255,127,255,511,511,255,511,511,344.6
475,255,255,255,127,255,511,511,255,511,511,344.6
476,255,255,255,127,255,511,511,255,511,511,344.6
477,255,255,255,127,255,511,511,255,511,511,344.6
478,255,255,255,127,255,511,511,255,511,511,344.6
479,255,255,255,127,255,511,511,255,511,511,344.6
480,255,255,255,127,255,511,511,255,511,511,344.6
481,255,255,255,127,255,511,511,255,511,511,344.6
482,255,255,255,127,255,1023,511,255,511,511,395.8
483,255,255,255,127,255,1023,511,255,511,511,395.8
484,255,255,255,127,255,1023,511,255,511,511,395.8
485,255,255,255,127,255,1023,511,255,511,511,395.8
486,255,255,255,127,255,1023,511,255,511,511,395.8
487,255,255,255,127,255,1023,511,255,511,511,395.8
488,255,255,255,127,255,1023,511,255,511,511,395.8
489,255,255,255,127,255,1023,511,255,511,511,395.8
