Exact_Count,Estimator_1,Estimator_2,Estimator_3,Estimator_4,Estimator_5,Estimator_6,Estimator_7,Estimator_8,Estimator_9,Estimator_10,Estimator_11,Estimator_12,Estimator_13,Estimator_14,Estimator_15,Estimator_16,Estimator_17,Estimator_18,Estimator_19,Estimator_20,Estimator_21,Estimator_22,Estimator_23,Estimator_24,Estimator_25,Average_Estimator
191,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
192,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
193,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
194,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
195,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
196,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
197,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
198,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
199,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
200,63,127,127,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,196.12
201,63,127,255,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,201.24
202,63,127,255,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,201.24
203,63,127,255,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,201.24
204,63,127,255,63,127,63,127,255,63,127,127,255,127,127,127,127,255,63,511,255,127,1023,127,255,255,201.24
205,63,127,255,63,127,63,127,255,63,127,127,255,127,255,127,127,255,63,511,255,127,1023,127,255,255,206.36
206,63,127,255,63,127,63,127,255,63,127,127,255,127,255,127,127,255,63,511,511,127,1023,127,255,255,216.6
207,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,127,255,63,511,511,127,1023,127,255,255,219.16
208,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,127,255,63,511,511,127,1023,127,255,255,219.16
209,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,127,255,63,511,511,127,1023,127,255,255,219.16
210,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
211,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
212,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
213,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
214,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
215,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
216,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
217,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
218,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
219,127,127,255,63,127,63,127,255,63,127,127,255,127,255,127,255,255,63,511,511,127,1023,127,255,255,224.28
220,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
221,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
222,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
223,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
224,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
225,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
226,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
227,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
228,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
229,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
230,127,127,255,63,127,63,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,234.52
231,127,127,255,63,127,127,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,237.08
232,127,127,255,63,127,127,127,255,63,127,127,255,127,511,127,255,255,63,511,511,127,1023,127,255,255,237.08
